polygon_number,point_order,longitude,latitude,tractce10,aland10,geom
47,21,-122.4774,37.76952,980300,4345271,POINT (-122.477401999902 37.769520000148)
42,57,-122.3993,37.80184,010500,683666,POINT (-122.399303000133 37.8018400004157)
46,250,-122.41084,37.80981,010100,776482,POINT (-122.410839999766 37.8098069999931)
40,236,-122.37493,37.74575,980900,3586378,POINT (-122.374925000089 37.7457530004007)
46,100,-122.41995,37.81156,010100,776482,POINT (-122.419951999985 37.8115630000325)
47,177,-122.5094,37.76403,980300,4345271,POINT (-122.509401999802 37.7640330007225)
46,1272,-122.40858,37.80931,010100,776482,POINT (-122.408576000582 37.809308000364)
46,827,-122.40978,37.81029,010100,776482,POINT (-122.409783000485 37.8102930008214)
46,701,-122.4089,37.81032,010100,776482,POINT (-122.408901000281 37.8103160000834)
47,117,-122.48893,37.76497,980300,4345271,POINT (-122.488928999973 37.7649700007649)
190,74,-122.37279,37.73368,017902,2720913,POINT (-122.37278700042 37.7336750001012)
42,104,-122.39546,37.79935,010500,683666,POINT (-122.395461000125 37.7993490006559)
46,1570,-122.40917,37.80891,010100,776482,POINT (-122.409165999911 37.8089099999966)
47,281,-122.46802,37.7733,980300,4345271,POINT (-122.468024000008 37.7733040001795)
53,10,-122.4949,37.77208,047801,475941,POINT (-122.494903000273 37.7720810004379)
46,1648,-122.40859,37.80847,010100,776482,POINT (-122.408586000144 37.8084740005747)
46,1503,-122.40822,37.80888,010100,776482,POINT (-122.408215000122 37.8088750001812)
42,159,-122.39385,37.79669,010500,683666,POINT (-122.393850000477 37.796688000251)
190,61,-122.37198,37.7342,017902,2720913,POINT (-122.371976999939 37.7341989999839)
46,1633,-122.40882,37.80854,010100,776482,POINT (-122.408824000327 37.8085440002055)
47,22,-122.4539,37.77105,980300,4345271,POINT (-122.453901999877 37.7710540007416)
47,263,-122.48633,37.77247,980300,4345271,POINT (-122.486333999914 37.7724720004825)
47,54,-122.46632,37.76598,980300,4345271,POINT (-122.466315000337 37.7659770004383)
46,1313,-122.40914,37.80929,010100,776482,POINT (-122.409139000464 37.8092910004793)
47,132,-122.49432,37.76474,980300,4345271,POINT (-122.494316000183 37.764737000812)
49,116,-122.40291,37.78811,061500,1669699,POINT (-122.402914000281 37.7881120004685)
46,203,-122.4107,37.80968,010100,776482,POINT (-122.410704999836 37.8096810004778)
50,15,-122.39097,37.73401,061200,433004,POINT (-122.390967999773 37.7340140004458)
47,276,-122.4723,37.77311,980300,4345271,POINT (-122.472297000106 37.7731140004108)
47,61,-122.46858,37.76583,980300,4345271,POINT (-122.468583000605 37.7658300008539)
46,536,-122.40888,37.81085,010100,776482,POINT (-122.408879000166 37.8108450001967)
46,993,-122.40849,37.80959,010100,776482,POINT (-122.408492000306 37.8095940000631)
46,1225,-122.40814,37.80937,010100,776482,POINT (-122.408142000353 37.8093700005252)
46,430,-122.40913,37.81128,010100,776482,POINT (-122.409125999865 37.8112770003333)
45,29,-122.41822,37.80369,010200,515572,POINT (-122.418215999968 37.803687000155)
47,116,-122.47619,37.7701,980300,4345271,POINT (-122.476191999861 37.7700950005839)
40,204,-122.38641,37.74779,980900,3586378,POINT (-122.386412000114 37.7477870006696)
46,943,-122.40871,37.80985,010100,776482,POINT (-122.408707000328 37.8098530003157)
49,35,-122.38526,37.78852,061500,1669699,POINT (-122.385259000003 37.7885200003977)
46,467,-122.40988,37.81125,010100,776482,POINT (-122.409879000416 37.8112460007024)
46,155,-122.41246,37.8092,010100,776482,POINT (-122.412456000544 37.8091980006872)
46,768,-122.40891,37.81007,010100,776482,POINT (-122.408912999935 37.8100670002919)
46,1516,-122.40841,37.8089,010100,776482,POINT (-122.40841300026 37.8089010004808)
44,27,-122.41826,37.80365,010300,268266,POINT (-122.418256000014 37.8036500002474)
46,1676,-122.40799,37.80818,010100,776482,POINT (-122.407991000584 37.8081760003222)
46,1008,-122.40868,37.80962,010100,776482,POINT (-122.40868300012 37.8096200003628)
46,409,-122.40868,37.81121,010100,776482,POINT (-122.408681000028 37.8112140001261)
46,415,-122.40883,37.8111,010100,776482,POINT (-122.408832999843 37.8110970001265)
46,1703,-122.40434,37.80887,010100,776482,POINT (-122.404344999722 37.8088709999967)
46,1352,-122.40978,37.80939,010100,776482,POINT (-122.409775000116 37.8093870004098)
49,84,-122.3943,37.78009,061500,1669699,POINT (-122.394300000545 37.7800900001535)
46,1665,-122.40831,37.80831,010100,776482,POINT (-122.408306999868 37.8083070000681)
46,911,-122.4092,37.80992,010100,776482,POINT (-122.409197000441 37.8099180006153)
46,1022,-122.40887,37.80974,010100,776482,POINT (-122.408865000419 37.8097350002701)
46,1718,-122.40094,37.80764,010100,776482,POINT (-122.400940000081 37.8076390007394)
42,115,-122.39647,37.79859,010500,683666,POINT (-122.396466999752 37.7985860005435)
51,22,-122.40532,37.79709,061100,239862,POINT (-122.405318000525 37.7970900008029)
46,961,-122.40845,37.80971,010100,776482,POINT (-122.408454000352 37.8097060007314)
44,12,-122.41393,37.79889,010300,268266,POINT (-122.413931000215 37.7988880000812)
45,61,-122.42549,37.80601,010200,515572,POINT (-122.425487999871 37.8060100002614)
40,199,-122.38624,37.74787,980900,3586378,POINT (-122.38624400046 37.747874000185)
45,43,-122.42622,37.81027,010200,515572,POINT (-122.426220000353 37.8102700006601)
40,130,-122.39166,37.7526,980900,3586378,POINT (-122.391656000024 37.7526040006741)
46,1141,-122.40929,37.80953,010100,776482,POINT (-122.409290000233 37.8095250004785)
47,11,-122.47758,37.77023,980300,4345271,POINT (-122.477580000017 37.7702340006986)
46,563,-122.40879,37.81067,010100,776482,POINT (-122.408791999751 37.8106740004048)
42,130,-122.39513,37.7975,010500,683666,POINT (-122.395132000242 37.7974950005939)
46,1535,-122.40866,37.80894,010100,776482,POINT (-122.408658999913 37.8089350002501)
48,49,-122.40346,37.75703,061400,797778,POINT (-122.403461000325 37.757029000588)
46,1190,-122.4086,37.80943,010100,776482,POINT (-122.408601999982 37.8094320006863)
49,72,-122.3881,37.78191,061500,1669699,POINT (-122.38809600043 37.7819120005385)
46,156,-122.41264,37.80939,010100,776482,POINT (-122.412641000082 37.8093860003637)
43,18,-122.40813,37.80153,010400,335738,POINT (-122.408132999938 37.8015250002786)
49,74,-122.38834,37.7818,061500,1669699,POINT (-122.388339999991 37.7817980006773)
45,119,-122.42155,37.80846,010200,515572,POINT (-122.421549999932 37.8084609999752)
190,20,-122.36716,37.73563,017902,2720913,POINT (-122.367156999796 37.7356280002321)
46,299,-122.41176,37.80987,010100,776482,POINT (-122.411758999878 37.8098700002004)
40,162,-122.37609,37.75225,980900,3586378,POINT (-122.376087000615 37.752249000491)
46,68,-122.41749,37.80842,010100,776482,POINT (-122.417485000432 37.8084210008286)
46,462,-122.40977,37.81137,010100,776482,POINT (-122.409766999747 37.8113669999871)
46,1220,-122.40821,37.80929,010100,776482,POINT (-122.408207999799 37.8092900004332)
45,44,-122.42444,37.80031,010200,515572,POINT (-122.424443000244 37.8003120000988)
48,66,-122.39242,37.75812,061400,797778,POINT (-122.392419000137 37.7581180004454)
48,12,-122.39834,37.75106,061400,797778,POINT (-122.398340999837 37.7510550002881)
52,20,-122.49877,37.78094,047802,339465,POINT (-122.498770000535 37.7809430008189)
40,221,-122.39048,37.74703,980900,3586378,POINT (-122.390480999798 37.7470300008339)
46,35,-122.41897,37.80848,010100,776482,POINT (-122.418966000381 37.8084840001366)
43,3,-122.40369,37.79922,010400,335738,POINT (-122.403690000093 37.7992180000107)
